,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
D2050V4_1,D,2050,V,6.24,10,0,0,80,0,0,0,0,4.58,0.012,2072.643311,2.5,2.5,May,0,0,5,5,3.41,NA,NA,NA,NA,NA,NA,pine,46.73294758,9.846859528,13128
D2050V4_2,D,2050,V,6.24,10,0,0,80,0,0,0,0,4.58,0.012,2072.643311,2.5,2.5,September,1,1,4,4,4.67,NA,NA,NA,NA,NA,NA,pine,46.73302364,9.846977819,4577
D2100B1_1,D,2100,B,0,50,50,0,0,0,0,0,0,0.64,0,2096.854004,0.5,1.5,May,0,0,5,5,4.42,8.289550781,72.5,-14,14.64960883,135.3333333,154.3333333,pine,46.73297033,9.849310718,11444
D2100B1_2,D,2100,B,0,50,50,0,0,0,0,0,0,0.64,0,2096.854004,0.5,1.5,September,0,0,5,5,4.71,8.289550781,72.5,-14,14.64960883,135.3333333,154.3333333,pine,46.7327902,9.849341332,18150
D2100B2_1,D,2100,B,99.84,0,0,0,45,45,10,0,0,5.96,0,2096.360107,0.5,7,May,0,0,5,5,4.1,5.594970703,77.5,-7,11.82488616,189.8333333,115.6666667,pine,46.73260847,9.848900087,7854
D2100B2_2,D,2100,B,99.84,0,0,0,45,45,10,0,0,5.96,0,2096.360107,0.5,7,September,1,1,4,4,4.4,5.594970703,77.5,-7,11.82488616,189.8333333,115.6666667,pine,46.73259357,9.848874294,6127
D2100B3_1,D,2100,B,0,0,70,0,0,0,20,10,0,0.04,0.006,2098.872803,0.5,0.5,May,0,0,5,5,4.32,4.445556641,37,-9,8.198730929,149,139.6666667,pine,46.73260568,9.84903106,23421
D2100B3_2,D,2100,B,0,0,70,0,0,0,20,10,0,0.04,0.006,2098.872803,0.5,0.5,September,0,0,5,5,5.1,4.445556641,37,-9,8.198730929,149,139.6666667,pine,46.73261076,9.848961871,9616
D2100B4_1,D,2100,B,0,0,80,0,0,0,20,0,0,6.74,0.004,2102.696777,0.5,0.5,May,0,0,5,5,4.05,NA,NA,NA,NA,NA,NA,pine,46.73254099,9.848953003,8618
D2100B4_2,D,2100,B,0,0,80,0,0,0,20,0,0,6.74,0.004,2102.696777,0.5,0.5,September,0,0,5,5,4.25,NA,NA,NA,NA,NA,NA,pine,46.73257074,9.84910109,8590
D2100V1_1,D,2100,V,20.8,0,0,0,95,5,0,0,0,13.3,0.022,2096.320068,2.5,6,May,0,0,5,5,3.49,6.090820313,73.5,-6.5,11.03395761,160.8333333,128.1666667,pine,46.73296643,9.850430647,7666
D2100V1_2,D,2100,V,20.8,0,0,0,95,5,0,0,0,13.3,0.022,2096.320068,2.5,6,September,0,1,4,4,4.15,6.090820313,73.5,-6.5,11.03395761,160.8333333,128.1666667,pine,46.73293235,9.850441907,12396
D2100V2_1,D,2100,V,99.84,10,0,0,55,35,0,0,0,10.5,0,2097.449707,2,6,May,0,0,5,5,4.49,5.916503906,66,-7.5,10.74982469,177.5,125.3333333,pine,46.73286597,9.850722947,34808
D2100V2_2,D,2100,V,99.84,10,0,0,55,35,0,0,0,10.5,0,2097.449707,2,6,September,0,1,5,4,4.78,5.916503906,66,-7.5,10.74982469,177.5,125.3333333,pine,46.73289988,9.850771571,12865
